"00021 \mathexclam
"00023 \mathoctothorpe
"00024 \mathdollar
"00025 \mathpercent
"00026 \mathampersand
"00028 \lparen
"00029 \rparen
"0002B \mathplus
"0002C \mathcomma
"0002E \mathperiod
"0002F \mathslash
"0003A \mathcolon
"0003B \mathsemicolon
"0003C \less
"0003D \equal
"0003E \greater
"0003F \mathquestion
"00040 \mathatsign
"0005B \lbrack
"0005C \backslash
"0005D \rbrack
"0007B \lbrace
"0007C \vert
"0007D \rbrace
"000A3 \mathsterling
"000A5 \mathyen
"000A7 \mathsection
"000AC \neg
"000B1 \pm
"000B6 \mathparagraph
"000B7 \cdotp
"000D7 \times
"000F0 \matheth
"000F7 \div
"001B5 \Zbar
"00300 \grave
"00301 \acute
"00302 \hat
"00302 \widehat
"00303 \tilde
"00303 \widetilde
"00304 \bar
"00305 \overbar
"00305 \wideoverbar
"00306 \breve
"00306 \widebreve
"00307 \dot
"00308 \ddot
"00309 \ovhook
"0030A \ocirc
"0030C \check
"0030C \widecheck
"00310 \candra
"00312 \oturnedcomma
"00315 \ocommatopright
"0031A \droang
"00330 \wideutilde
"00332 \mathunderbar
"00338 \notaccent
"0034D \underleftrightarrow
"00391 \mupAlpha
"00392 \mupBeta
"00393 \mupGamma
"00394 \mupDelta
"00395 \mupEpsilon
"00396 \mupZeta
"00397 \mupEta
"00398 \mupTheta
"00399 \mupIota
"0039A \mupKappa
"0039B \mupLambda
"0039C \mupMu
"0039D \mupNu
"0039E \mupXi
"0039F \mupOmicron
"003A0 \mupPi
"003A1 \mupRho
"003A3 \mupSigma
"003A4 \mupTau
"003A5 \mupUpsilon
"003A6 \mupPhi
"003A7 \mupChi
"003A8 \mupPsi
"003A9 \mupOmega
"003B1 \mupalpha
"003B2 \mupbeta
"003B3 \mupgamma
"003B4 \mupdelta
"003B5 \mupvarepsilon
"003B6 \mupzeta
"003B7 \mupeta
"003B8 \muptheta
"003B9 \mupiota
"003BA \mupkappa
"003BB \muplambda
"003BC \mupmu
"003BD \mupnu
"003BE \mupxi
"003BF \mupomicron
"003C0 \muppi
"003C1 \muprho
"003C2 \mupvarsigma

"003C3 \mupsigma
"003C4 \muptau
"003C5 \mupupsilon
"003C6 \mupvarphi
"003C7 \mupchi
"003C8 \muppsi
"003C9 \mupomega
"003D1 \mupvartheta
"003D5 \mupphi
"003D6 \mupvarpi
"003DC \upDigamma
"003DD \updigamma
"003F0 \mupvarkappa
"003F1 \mupvarrho
"003F4 \mupvarTheta
"003F5 \mupepsilon
"003F6 \upbackepsilon
"02010 \mathhyphen
"02015 \horizbar
"02016 \Vert
"02017 \twolowline
"02020 \dagger
"02021 \ddagger
"02022 \smblkcircle
"02025 \enleadertwodots
"02026 \unicodeellipsis
"02032 \prime
"02033 \dprime
"02034 \trprime
"02035 \backprime
"02036 \backdprime
"02037 \backtrprime
"02038 \caretinsert
"0203C \Exclam
"02040 \tieconcat
"02043 \hyphenbullet
"02044 \fracslash
"02047 \Question
"02050 \closure
"02057 \qprime
"020AC \euro
"020D0 \leftharpoonaccent
"020D0 \overleftharpoon
"020D1 \rightharpoonaccent
"020D1 \overrightharpoon
"020D2 \vertoverlay
"020D6 \overleftarrow
"020D7 \overrightarrow
"020D7 \vec
"020DB \dddot
"020DC \ddddot
"020DD \enclosecircle
"020DE \enclosesquare
"020DF \enclosediamond
"020E1 \overleftrightarrow
"020E4 \enclosetriangle
"020E7 \annuity
"020E8 \threeunderdot
"020E9 \widebridgeabove
"020EC \underrightharpoondown
"020ED \underleftharpoondown
"020EE \underleftarrow
"020EF \underrightarrow
"020F0 \asteraccent
"02102 \BbbC
"02107 \Eulerconst
"0210A \mscrg
"0210B \mscrH
"0210C \mfrakH
"0210D \BbbH
"0210E \Planckconst
"0210F \hslash
"02110 \mscrI
"02111 \Im
"02112 \mscrL
"02113 \ell
"02115 \BbbN
"02118 \wp
"02119 \BbbP
"0211A \BbbQ
"0211B \mscrR
"0211C \Re
"0211D \BbbR
"02124 \BbbZ
"02127 \mho
"02128 \mfrakZ
"02129 \turnediota
"0212B \Angstrom
"0212C \mscrB
"0212D \mfrakC
"0212F \mscre
"02130 \mscrE
"02131 \mscrF
"02132 \Finv
"02133 \mscrM
"02134 \mscro
"02135 \aleph
"02136 \beth
"02137 \gimel
"02138 \daleth
"0213C \Bbbpi
"0213D \Bbbgamma

"0213E \BbbGamma
"0213F \BbbPi
"02140 \Bbbsum
"02141 \Game
"02142 \sansLturned
"02143 \sansLmirrored
"02144 \Yup
"02145 \mitBbbD
"02146 \mitBbbd
"02147 \mitBbbe
"02148 \mitBbbi
"02149 \mitBbbj
"0214A \PropertyLine
"0214B \upand
"02190 \leftarrow
"02191 \uparrow
"02192 \rightarrow
"02193 \downarrow
"02194 \leftrightarrow
"02195 \updownarrow
"02196 \nwarrow
"02197 \nearrow
"02198 \searrow
"02199 \swarrow
"0219A \nleftarrow
"0219B \nrightarrow
"0219C \leftwavearrow
"0219D \rightwavearrow
"0219E \twoheadleftarrow
"0219F \twoheaduparrow
"021A0 \twoheadrightarrow
"021A1 \twoheaddownarrow
"021A2 \leftarrowtail
"021A3 \rightarrowtail
"021A4 \mapsfrom
"021A5 \mapsup
"021A6 \mapsto
"021A7 \mapsdown
"021A8 \updownarrowbar
"021A9 \hookleftarrow
"021AA \hookrightarrow
"021AB \looparrowleft
"021AC \looparrowright
"021AD \leftrightsquigarrow
